r,5
s,4
n,960
m1,384
m2,480
508,593,616,666,
509,617,667,901,
510,618,668,736,
511,619,669,734,
512,620,671,885,
513,621,672,766,
516,567,622,673,
517,627,674,698,
519,628,676,876,
552,666,794,819,
553,667,817,908,
554,668,870,907,
555,669,869,883,
556,659,670,762,
557,671,694,864,
558,672,865,875,
562,651,674,719,
563,675,720,872,
566,677,728,813,
568,678,788,839,
569,679,748,860,
570,654,680,755,
571,660,681,763,
573,606,705,732,
574,604,703,730,
575,682,786,802,
576,683,787,823,
578,684,859,902,
582,685,844,884,
583,686,905,909,
584,687,899,910,
585,688,705,798,
586,689,765,838,
587,690,814,886,
589,633,692,789,
595,693,807,912,
596,694,808,923,
597,695,809,902,
598,696,811,825,
599,619,697,779,
600,699,813,886,
601,608,700,706,
602,609,701,707,
603,610,702,708,
605,704,717,731,
611,709,774,815,
612,710,908,915,
613,711,911,916,
614,712,901,912,
616,713,722,920,
617,714,913,925,
620,715,905,924,
622,718,769,915,
623,628,719,723,
626,721,849,877,
627,714,722,791,
629,724,754,926,
630,725,760,828,
631,657,726,798,
632,655,727,797,
637,729,873,903,
643,748,792,826,
644,750,793,918,
645,716,758,805,
646,735,751,794,
647,752,795,927,
650,753,796,921,
652,693,754,859,
697,796,818,911,
703,783,797,832,
710,800,847,907,
711,801,848,883,
715,803,866,875,
718,806,906,928,
723,807,830,913,
724,808,931,933,
725,809,926,934,
726,810,823,872,
737,816,878,935,
738,817,879,928,
739,818,880,943,
740,776,819,851,
743,747,821,824,
744,822,831,840,
749,826,927,935,
750,827,877,932,
751,828,833,940,
752,829,936,945,
753,830,931,944,
755,827,861,874,
761,829,833,867,
762,835,855,889,
763,836,853,946,
764,837,857,888,
770,839,896,916,
773,847,868,887,
775,842,850,869,
777,852,870,947,
781,816,853,906,
782,854,871,941,
820,871,882,932,
834,878,891,936,
835,879,946,949,
836,880,948,950,
837,851,889,951,
843,882,917,952,
845,885,892,897,
