t,m,ell,a1,a2,a3,b1,b2,b3,emb_m,emb_ell,aa,bb,p_phys,p_mask,no_test,no_success,p_log,d,k,adv
10,6,30,21,5,4,3,8,13,6,30,3,4,0.005,0.1666666666666666,10001,9594,0.9593040695930408,20,12,0.5107509996534645
10,6,30,21,5,4,3,8,13,6,30,3,5,0.005,0.1666666666666666,10001,9613,0.9612038796120388,20,12,0.5124141893092747
10,6,30,23,1,0,5,28,21,6,30,2,2,0.005,0.1333333333333333,10001,9570,0.956904309569043,14,8,0.524106402553623
10,6,30,23,1,0,5,28,21,6,30,2,3,0.005,0.1333333333333333,10001,9616,0.9615038496150384,14,8,0.5283420153524477
10,6,30,23,1,0,5,28,21,6,30,3,2,0.005,0.1333333333333333,10001,9574,0.9573042695730428,14,8,0.5062435552434137
10,6,30,23,1,0,5,28,21,6,30,3,3,0.005,0.1333333333333333,10001,9584,0.9583041695830417,14,8,0.5108008778145898
10,6,30,23,2,3,3,5,28,6,30,2,2,0.005,0.1666666666666666,10001,9707,0.9706029397060294,18,8,0.5161816472770457
10,6,30,23,2,3,3,5,28,6,30,2,3,0.005,0.1666666666666666,10001,9662,0.966103389661034,18,8,0.5219167884323735
10,6,30,23,2,3,3,5,28,6,30,3,2,0.005,0.1666666666666666,10001,9669,0.9668033196680332,18,8,0.5204978183965889
10,6,30,23,2,3,3,5,28,6,30,3,3,0.005,0.1666666666666666,10001,9656,0.9655034496550344,18,8,0.5260163514849554
10,6,30,23,3,4,5,25,18,6,30,2,3,0.005,0.2,10001,9671,0.967003299670033,20,8,0.5309558786412142
10,6,30,23,3,4,5,25,18,6,30,3,3,0.005,0.2,10001,9643,0.9642035796420358,18,8,0.530606500561325
10,6,30,24,1,2,0,14,25,30,6,0,4,0.005,0.2,10001,9519,0.9518048195180482,12,8,0.5096740310196173
10,6,30,24,1,2,0,19,5,30,6,0,4,0.005,0.2,10001,9516,0.9515048495150484,12,8,0.5115838976235245
10,6,30,24,1,2,0,19,5,30,6,0,5,0.005,0.2,10001,9519,0.9518048195180482,12,8,0.5096740310196173
10,6,30,24,1,2,3,28,23,30,6,0,2,0.005,0.1666666666666666,10001,9564,0.9563043695630437,22,8,0.4930803135734345
10,6,30,24,1,2,3,28,23,30,6,0,3,0.005,0.1666666666666666,10001,9564,0.9563043695630437,22,8,0.4927316279556052
10,6,30,24,1,2,3,28,23,30,6,1,2,0.005,0.1666666666666666,10001,9581,0.958004199580042,20,8,0.4948282657348155
10,6,30,24,1,2,3,28,23,30,6,1,3,0.005,0.1666666666666666,10001,9590,0.958904109589041,22,8,0.4944867386085185
10,6,30,24,4,5,3,19,11,6,30,2,4,0.005,0.2,10001,9599,0.9598040195980402,14,8,0.5116635612157228
10,6,30,24,4,5,3,19,11,6,30,2,5,0.005,0.2333333333333333,10001,9533,0.9532046795320468,14,8,0.4641986614341018
10,6,30,24,4,5,3,19,11,6,30,3,4,0.005,0.2,10001,9634,0.9633036696330368,14,8,0.5132918431907089
10,6,30,24,4,5,3,19,11,6,30,3,5,0.005,0.2333333333333333,10001,9523,0.952204779522048,14,8,0.4657917149041832
10,6,30,24,4,5,3,26,1,6,30,2,4,0.005,0.2,10001,9493,0.9492050794920508,12,8,0.5106521894310347
10,6,30,24,4,5,3,26,1,6,30,3,4,0.005,0.2,10001,9462,0.946105389461054,12,8,0.511756516404524
10,6,30,25,0,1,0,8,17,6,30,2,5,0.005,0.1666666666666666,10001,9578,0.9577042295770424,16,8,0.5142877894295346
10,6,30,25,0,1,0,8,17,6,30,3,5,0.005,0.1666666666666666,10001,9552,0.9551044895510448,16,8,0.5102488622562747
10,6,30,25,0,1,2,11,14,6,30,2,1,0.005,0.1666666666666666,10001,9571,0.957004299570043,16,8,0.5316766375564591
10,6,30,25,0,1,2,11,14,6,30,3,0,0.005,0.2,10001,9458,0.9457054294570544,16,8,0.47420303446893186
10,6,30,25,0,1,2,11,14,6,30,3,1,0.005,0.1666666666666666,10001,9584,0.9583041695830417,16,8,0.531088684310092
10,6,30,25,0,1,2,16,23,6,30,2,2,0.005,0.2,10001,9611,0.961003899610039,18,8,0.5188177383587708
10,6,30,25,0,1,2,16,23,6,30,2,4,0.005,0.2,10001,9593,0.9592040795920408,20,8,0.4793899471701899
10,6,30,25,0,1,2,16,23,6,30,2,5,0.005,0.1666666666666666,10001,9719,0.9718028197180282,18,8,0.5334438942753046
10,6,30,25,0,1,2,16,23,6,30,3,2,0.005,0.2,10001,9605,0.9604039596040396,18,8,0.514547692821557
10,6,30,25,0,1,2,16,23,6,30,3,4,0.005,0.2,10001,9563,0.9562043795620438,18,8,0.4787438520691356
10,6,30,25,0,1,2,16,23,6,30,3,5,0.005,0.1666666666666666,10001,9709,0.9708029197080292,20,8,0.5328360472744397
10,6,30,25,0,1,3,18,29,6,30,4,2,0.005,0.1666666666666666,10001,9561,0.956004399560044,18,8,0.5163382945943723
10,6,30,25,0,1,3,18,29,6,30,5,2,0.005,0.1666666666666666,10001,9572,0.9571042895710428,18,8,0.5130932999509803
10,6,30,25,0,5,0,7,28,6,30,4,1,0.005,0.1666666666666666,10001,9579,0.9578042195780422,16,8,0.5142877894295346
